canonical_genre,tag_assignment_count,unique_users,unique_artists,listening_weight_sum,listening_weight_mean,genre_popularity_score,popularity_rank,genre_popularity_segment,listener_type
dance pop,114,27,90,513847.0,4507.429824561404,27,29,middle,Middle
bossa nova,125,26,58,14140.0,113.12,26,30,middle,Middle
rock gospel,168,26,78,83303.0,495.8511904761905,26,31,middle,Middle
r&b,136,25,108,64027.0,470.7867647058824,25,32,middle,Middle
rockabilly,95,25,67,28395.0,298.89473684210526,25,33,middle,Middle
futurepop,174,24,71,72836.0,418.5977011494253,24,34,middle,Middle
nu-jazz,123,24,75,34033.0,276.6910569105691,24,35,middle,Middle
rock brasil,72,24,55,34044.0,472.8333333333333,24,36,middle,Middle
space rock,75,24,57,281780.0,3757.0666666666666,24,37,middle,Middle
dark electro,168,22,82,20425.0,121.57738095238095,22,38,middle,Middle
industrial rock,81,22,51,43019.0,531.0987654320987,22,39,middle,Middle
opera,43,22,25,113105.0,2630.3488372093025,22,40,middle,Middle
kpop,90,21,52,41162.0,457.35555555555555,21,41,middle,Middle
rapcore,51,21,35,28949.0,567.6274509803922,21,42,middle,Middle
electro rock,26,19,22,55237.0,2124.5,19,43,middle,Middle
eurodance,74,18,61,35911.0,485.2837837837838,18,44,middle,Middle
melodic,46,18,44,116879.0,2540.8478260869565,18,45,middle,Middle
alt country,65,17,49,5452.0,83.87692307692308,17,46,middle,Middle
samba,42,16,34,7450.0,177.38095238095238,16,47,middle,Middle
chanson,56,15,42,65921.0,1177.1607142857142,15,48,middle,Middle
poprock,16,14,16,44453.0,2778.3125,14,49,middle,Middle
worldmusic,82,14,78,62869.0,766.6951219512196,14,50,middle,Middle
country rock,30,12,29,9182.0,306.06666666666666,12,51,middle,Middle
baroque,49,11,32,6154.0,125.59183673469387,11,52,middle,Middle
latin rock,41,11,34,3060.0,74.63414634146342,11,53,middle,Middle
rock 80s,28,11,28,30778.0,1099.2142857142858,11,54,middle,Middle
grime,26,10,22,5156.0,198.30769230769232,10,55,middle,Middle
motown,33,10,18,755.0,22.87878787878788,10,56,middle,Middle
orchestra,28,10,26,40401.0,1442.892857142857,10,57,middle,Middle
rpg music,39,10,31,42402.0,1087.2307692307693,10,58,middle,Middle
delta blues,34,9,20,6682.0,196.52941176470588,9,59,middle,Middle
gypsy,11,9,7,6292.0,572.0,9,60,middle,Middle
instrumental funk,49,9,43,7963.0,162.51020408163265,9,61,niche,Niche
jam,58,9,55,16140.0,278.2758620689655,9,62,niche,Niche
pop metal,17,9,14,36072.0,2121.8823529411766,9,63,niche,Niche
europop,23,8,22,23620.0,1026.9565217391305,8,64,niche,Niche
pop 90,116,8,106,111466.0,960.9137931034483,8,65,niche,Niche
sax,39,8,24,7828.0,200.71794871794873,8,66,niche,Niche
shockrock,13,8,7,2377.0,182.84615384615384,8,67,niche,Niche
straight edge,58,8,41,2279.0,39.293103448275865,8,68,niche,Niche
timbaland,38,8,31,146304.0,3850.1052631578946,8,69,niche,Niche
cabaret,17,7,14,6387.0,375.70588235294116,7,70,niche,Niche
brazilian music,65,6,61,7125.0,109.61538461538461,6,71,niche,Niche
bluegrass,11,5,9,2010.0,182.72727272727272,5,72,niche,Niche
finnish rock,6,5,5,11235.0,1872.5,5,73,niche,Niche
industrial jungle pussy punk,5,5,1,6901.0,1380.2,5,74,niche,Niche
industrial techno,8,5,8,1914.0,239.25,5,75,niche,Niche
modern country,25,5,22,9890.0,395.6,5,76,niche,Niche
new wave of british heavy metal,9,5,4,24452.0,2716.8888888888887,5,77,niche,Niche
rock argento,9,5,8,3052.0,339.1111111111111,5,78,niche,Niche
salsa,9,5,8,393.0,43.666666666666664,5,79,niche,Niche
soul-pop,7,5,7,5584.0,797.7142857142857,5,80,niche,Niche
