tagID	tagValue	canonical_genre
223	umtalented	umtalented
225	money	money
226	california	california
227	comedy	comedy
228	catchy	catchy
229	epic	epic
231	ballad	ballad
232	addictive	addictive
233	dark	dark
235	dancepop	dancepop
236	the fame monster	the fame monster
237	#1	#1
238	sexy	sexy
239	spanish new wave	spanish new wave
240	80s pop espanol	80s pop espanol
241	spanish pop	spanish pop
242	power pop	power pop
243	spanish rock	spanish rock
244	spanish pop-rock	spanish pop-rock
245	garage	garage
246	pop espanol	pop espanol
248	garage revival	garage revival
249	garage rock	garage rock
250	60s psychedelic	60s psychedelic
251	swing	swing
252	mod	mod
253	rockabilly	rockabilly
254	freakbeat	freakbeat
255	rock espanol	rock espanol
256	retro swing	retro swing
257	swing revival	swing revival
258	neo swing	neo swing
259	psychobilly	psychobilly
260	grave stompers	grave stompers
261	punkabilly	punkabilly
262	50s rock revival	50s rock revival
263	80s garage	80s garage
264	90s pop espanol	90s pop espanol
265	ska	ska
266	psychedelic garage	psychedelic garage
267	psychedelic garage revival	psychedelic garage revival
268	surf	surf
269	techno pop	techno pop
270	spanish rockabilly	spanish rockabilly
271	60s garage	60s garage
272	garage surf	garage surf
273	ska revival	ska revival
274	surf revival	surf revival
275	post-punk	post-punk
276	instro rock	instro rock
277	mod revival	mod revival
278	rock urbano	rock urbano
279	ska punk	ska punk
280	rad	rad
281	grind	grind
282	spacy	spacy
283	raw	raw
284	1st take	1st take
286	pretty	pretty
288	beatsy	beatsy
289	hot guitar	hot guitar
290	lesser known yet streamable artists	lesser known yet streamable artists
291	greek	greek
292	folk	folk
293	cypriot	cypriot
294	greek pop	greek pop
295	greek rock	greek rock
296	indie pop	indie pop
297	pop-rock	pop rock
298	greek alternative	greek alternative
299	world	world
300	greek hip-hop	greek hip-hop
301	eurovision	eurovision
302	ethnic	ethnic
304	hip hop	hip-hop
305	pop-folk	pop-folk
306	male vocalists	male vocalists
307	pop folk	pop-folk
308	latin	latin
309	electro	electro
310	modern folk	modern folk
311	reggae	reggae
312	greek folk	greek folk
313	laiko	laiko
314	greek rap	greek rap
315	asian	asian
316	entexno	entexno
317	south pacific	south pacific
318	traditional	traditional
319	spanish	spanish
320	chilean	chilean
321	french	french
322	pacific	pacific
323	hood	hood
324	lady	lady
325	ft	ft
326	wale	wale
327	progressive trance	progressive trance
328	psycho	psycho
329	slayer	slayer
330	death	death
331	pain	pain
332	atheist	atheist
334	palestine	palestine
335	pestilence	pestilence
341	noize	noize
342	idmbient	idmbient
343	crust	crust
344	witch house	witch house
345	russian	russian
346	female	female
347	gay	gay
348	gay icons	gay icons
349	teen pop	teen pop
350	gay icon	gay icon
351	europop	europop
353	girl	girl
354	fun	fun
355	female pop	female pop
356	latin pop	latin pop
357	dance pop	dance pop
358	queen of pop	queen of pop
359	top artists	top artists
360	australian	australian
361	radio crazy	radio crazy
362	toxic	toxic
363	brit pop	brit pop
365	pwl	pwl
366	kylie minogue	kylie minogue
368	mexican	mexican
369	kylie	kylie
371	r and b	r and b
373	i luv this	i luv this
374	ateens	ateens
375	russian metalcore	russian metalcore
376	metalcore	metalcore
377	nintendo-core	nintendo-core
378	deathcore	deathcore
379	bosnian thrashcore	bosnian thrashcore
380	metal core	metal core
381	thrashcore	thrashcore
382	female melodic death metal	female melodic death metal
383	modern melodic metal	modern melodic metal
384	modern melodic death metal	modern melodic death metal
385	melodic death metal	melodic death metal
386	heavy metal	heavy metal
387	progressive rock	progressive rock
388	brit rock	brit rock
389	britpop	britpop
390	indsutrial	indsutrial
391	shoegaze	shoegaze
392	death rock	death rock
393	dream pop	dream pop
394	proto-punk	proto-punk
395	new romantic	new romantic
396	electroclash	electroclash
397	alterntative rock	alterntative rock
398	alternative pop	alternative pop
399	popstars	popstars
400	talent	talent
401	king of pop	king of pop
402	the king of pop	the king of pop
403	michael-jackson-the-king-of-pop	michael-jackson-the-king-of-pop
404	girlgroup	girlgroup
405	disney	disney
406	brazil	brazil
407	genial	genial
408	female vocals	female vocals
409	guitar virtuoso	guitar virtuoso
410	albums i own	albums i own
411	andre matos	andre matos
413	great singer	great singer
414	melodic metal	melodic metal
415	nwobhm	nwobhm
416	tr00	tr00
417	rock opera	rock opera
419	metal god	metal god
420	sao paulo	sao paulo
422	male vocals	male vocals
423	helloween	helloween
424	progressive	progressive
425	pastel	pastel
426	depressive	depressive
427	hangar	hangar
428	jau	jau
429	babi fernandes nadaleto	babi fernandes nadaleto
430	heavy rock	heavy rock
431	hugo mariutti	hugo mariutti
432	brazilian	brazilian
434	adrian dragassakis	adrian dragassakis
435	breyla iv	breyla iv
436	angra	angra
437	rafael bittencourt	rafael bittencourt
438	animal	animal
439	fodinha	fodinha
440	clasical	clasical
441	industrail rock	industrail rock
442	sludge	sludge
443	new ag	new ag
444	progessive metal	progessive metal
445	blues rock	blues rock
446	grunge rock	grunge rock
449	solar stone	solar stone
450	underworld	underworld
451	sophie ellis-bextor	sophie ellis-bextor
452	plaid	plaid
453	adymus	adymus
454	dj tony venilman	dj tony venilman
455	guru josh project	guru josh project
456	wolfgang gartner	wolfgang gartner
457	dj disciple	dj disciple
458	dj eco	dj eco
459	danjo	danjo
460	rozza	rozza
461	dj walus	dj walus
462	the touch	the touch
463	nate wollman	nate wollman
464	eliess	eliess
465	amntqnn onratob	amntqnn onratob
466	david amo	david amo
467	dj antonio	dj antonio
468	art meson	art meson
469	dan stone	dan stone
470	kurd maverick	kurd maverick
471	andrew wooden	andrew wooden
472	spirit catcher	spirit catcher
473	that mucho	that mucho
474	ernesto vs bastian	ernesto vs bastian
475	anjunabeats	anjunabeats
476	julien creance	julien creance
477	silent intensity	silent intensity
478	transa	transa
479	radio romania	radio romania
480	radio	radio
481	usa	usa
482	sasha	sasha
483	party	party
484	rick astley	rick astley
485	thomas newman	thomas newman
486	smile	smile
487	poison	poison
488	runner runner	runner runner
489	taylor momsen	taylor momsen
490	all time low	all time low
491	nothing personal	nothing personal
492	kesha	kesha
493	glee	glee
494	synth	synth
495	synth wave	synth wave
497	80s party	80s party
499	melodic	melodic
500	brilliant	brilliant
501	pet shop boys	pet shop boys
502	back to the 80s	back to the 80s
505	80s pop	80s pop
509	dance-pop	dance pop
510	80s new wave	80s new wave
511	english	english
512	romantic	romantic
513	nostalgic	nostalgic
514	depeche mode	depeche mode
517	80s dance	80s dance
518	hungarian	hungarian
519	eighties	eighties
520	romance	romance
521	italo disco	italo disco
523	nordic	nordic
524	great	great
525	genious	genious
526	piano	piano
528	folk rock	folk rock
529	contemporany	contemporany
530	chile	chile
531	guitar hero	guitar hero
532	too slow amarok	too slow amarok
533	renaissance	renaissance
534	impressionist	impressionist
535	baroque	baroque
536	minimalista	minimalista
537	neofolk	neofolk
538	japan 80s	japan 80s
539	strings - organs  rubber wind	strings - organs  rubber wind
540	djent	djent
541	japanese	japanese
542	avant-garde metal	avant-garde metal
543	stoner rock	stoner rock
544	composers	composers
546	jazz fusion	jazz fusion
547	fusion	fusion
549	hardrock	hardrock
550	black music 4 black ppl listened 2 by white hipsters	black music 4 black ppl listened 2 by white hipsters
551	lastfm hipster artists	lastfm hipster artists
552	weeabo	weeabo
553	wigger	wigger
554	lastfm elitist repellent	lastfm elitist repellent
555	industrial pop	industrial pop
556	musique concrete	musique concrete
557	easy listening	easy listening
558	masturbation	masturbation
559	pretentious crap	pretentious crap
561	ep	ep
562	futuremelon	futuremelon
563	terrorbanana	terrorbanana
564	psytrance	psytrance
565	dark electro	dark electro
566	goffpop	goffpop
567	rave	rave
568	goa	goa
569	germany	germany
570	techno	techno
571	dark techno	dark techno
572	helltrance	helltrance
573	vampirepop	vampirepop
574	dark ambient	dark ambient
575	darkwave	darkwave
576	alpha quadrant	alpha quadrant
577	industrial techno	industrial techno
578	ambient industrial	ambient industrial
579	intelligent electro	intelligent electro
580	industrial dance	industrial dance
581	boring	boring
582	goff	goff
583	pissbass	pissbass
584	new kid on the block	new kid on the block
585	darktechno	darktechno
586	science fiction	science fiction
587	darktrance	darktrance
588	psychedelic trance	psychedelic trance
589	star trek	star trek
590	electrowave	electrowave
591	borg	borg
592	techtrance	techtrance
593	dark electronic	dark electronic
595	war	war
596	tech-trance	tech-trance
597	combichrist	combichrist
598	portion control	portion control
599	cyber	cyber
600	futurepop	futurepop
601	swedish	swedish
602	futurepop anthem	futurepop anthem
603	hardstyle	hardstyle
604	norwegian	norwegian
605	gabber	gabber
606	multiple artists	multiple artists
607	dutch	dutch
608	italian	italian
609	hard trance	hard trance
611	canadian	canadian
612	deathrock	deathrock
613	powernoise	powernoise
614	belgian	belgian
615	power metal	power metal
616	technical thrash metal	technical thrash metal
617	speed metal	speed metal
618	on frozen fields	on frozen fields
619	groove metal	groove metal
620	war metal	war metal
621	battle metal	battle metal
623	depression	depression
624	electro house	electro house
625	soul	soul
626	drum and bass	drum and bass
627	podcast	podcast
628	wtf	wtf
629	disappointment	disappointment
631	minimalist	minimalist
632	rihanna	rihanna
633	miley cyrus	miley cyrus
634	americans	americans
635	shakira	shakira
636	britney spears	britney spears
637	tecno	tecno
638	r&b	r&b
639	queen	queen
640	urban	urban
641	top 40	top 40
643	teen	teen
644	tech	tech
645	era	era
646	ass	ass
647	00	00
648	thalia	thalia
649	sex symbol	sex symbol
650	jlo	jlo
651	pop teen	pop teen
652	rap reggae	rap reggae
653	camp rock	camp rock
654	ashley tisdale	ashley tisdale
655	selena gomez in the scene	selena gomez in the scene
656	jeffree star	jeffree star
657	katy perry	katy perry
658	lady gaga	lady gaga
659	mi delirio	mi delirio
660	woman	woman
661	ballads	ballads
663	riri	riri
664	christina aguilera	christina aguilera
665	xtina	xtina
666	not myself tonight	not myself tonight
667	bionic	bionic
668	copa	copa
670	girl power	girl power
672	raining men	raining men
673	supersonic	supersonic
674	rated r	rated r
675	te amo	te amo
676	sweet dreams	sweet dreams
677	3oh3	3oh3
679	gggb	gggb
682	tip pon toe	tip pon toe
683	country pop	country pop
684	punk pop	punk pop
685	nickelodeon	nickelodeon
686	idol	idol
687	abba	abba
688	rainha do pop	rainha do pop
689	madonna	madonna
690	swedish pop	swedish pop
692	melhor cantora europeia de todos os tempos	melhor cantora europeia de todos os tempos
693	mpb	mpb
694	ana carolina	ana carolina
699	trilha sonora	trilha sonora
701	beyonce	beyonce
702	smooth	smooth
703	fucking sexy	fucking sexy
704	ackles	ackles
705	f-u-c-k me	f-u-c-k me
707	brasileira	brasileira
708	get stupid	get stupid
712	gospel	gospel
714	sweden	sweden
715	roxette	roxette
716	joyride	joyride
717	scandinavian	scandinavian
718	christmas songs	christmas songs
719	gossip girl	gossip girl
720	salsa	salsa
721	trumpet	trumpet
722	colombia	colombia
723	reggaeton	reggaeton
725	vivaldi	vivaldi
726	salsa romantica	salsa romantica
727	vocal	vocal
728	rock en espanol	rock en espanol
729	concerto	concerto
731	barroco	barroco
732	antonio vivaldi	antonio vivaldi
733	barroco favorito	barroco favorito
734	latino	latino
736	dance rock	dance rock
737	great lyrics	great lyrics
738	nu-metal	nu metal
739	swedish metal	swedish metal
740	brutal deathgrind	brutal deathgrind
741	grindcore	grindcore
742	brutal death metal	brutal death metal
743	technical death metal	technical death metal
744	death metalcore	death metalcore
745	brutal deathcore	brutal deathcore
746	progressivo	progressivo
747	christian metalcore	christian metalcore
748	jpdm	jpdm
749	deathgrind	deathgrind
750	post hardcore	post-hardcore
751	russian death metal	russian death metal
752	bree bree	bree bree
753	goregrind	goregrind
754	vocalist	vocalist
755	bay area	bay area
756	southern rap	southern rap
757	indie folk	indie folk
758	instrumental hip-hop	instrumental hip-hop
759	acoustic music	acoustic music
760	rock in rool	rock in rool
761	pop metal	pop metal
762	not emo	not emo
763	andy six	andy six
764	post-hadcore	post-hadcore
765	lady gaga play day	lady gaga play day
766	holiday soundtrack	holiday soundtrack
767	unreleased	unreleased
768	stand out be proud	stand out be proud
769	demi lovato	demi lovato
775	elvis presley	elvis presley
778	party time	party time
779	vanessa hudgens	vanessa hudgens
786	celebrities who one day im determined to meet	celebrities who one day im determined to meet
787	nick	nick
791	taylor swift	taylor swift
794	play this loud enough to raise the dead	play this loud enough to raise the dead
795	haunting	haunting
796	music for tossing furniture around	music for tossing furniture around
797	masterpiece	masterpiece
798	unforgettable	unforgettable
799	genius	genius
800	cello metal	cello metal
801	hypnotic	hypnotic
802	take your shirt off and dance to it	take your shirt off and dance to it
803	apocalyptic	apocalyptic
805	i think trent reznor is superior to god	i think trent reznor is superior to god
807	helplessly singing along	helplessly singing along
810	attitude	attitude
811	peaceful	peaceful
812	great b-side	great b-side
813	songs you must hear before you die	songs you must hear before you die
818	greatest rock anthems	greatest rock anthems
820	chen-	chen-
821	post rock	post-rock
822	basque	basque
823	brasil	brasil
824	mellow	mellow
825	relaxing	relaxing
826	chill	chill
827	medieval	medieval
828	finnish	finnish
829	blues	blues
830	guitar	guitar
832	music to cry	music to cry
833	energy	energy
834	ukrainian	ukrainian
836	dreamy	dreamy
841	absolutely genius	absolutely genius
842	piano rock	piano rock
843	rock ballad	rock ballad
844	sensual	sensual
845	meditative	meditative
846	placebo	placebo
847	female vocal	female vocal
848	hair metal	hair metal
849	riot grrrl	riot grrrl
851	rock catala	rock catala
852	christian metal	christian metal
853	celtic	celtic
854	spiritual	spiritual
855	new rave	new rave
856	mixmaster supreme	mixmaster supreme
858	smooth groove	smooth groove
859	damn boy	damn boy
860	glorious gospel	glorious gospel
861	deep house mixes	deep house mixes
862	90s jam	90s jam
863	forgotten 80s jam	forgotten 80s jam
864	loleeta	loleeta
865	memphis soul	memphis soul
866	miss grace jones	miss grace jones
867	grace	grace
868	loleatta	loleatta
869	drum 'n' bass	drum 'n' bass
870	dnb	dnb
871	hot enough to sweat out your press n curl	hot enough to sweat out your press n curl
872	quiet storm	quiet storm
873	70s jazz	70s jazz
874	luther vandross	luther vandross
878	david at his finest	david at his finest
880	fonky fresh jam	fonky fresh jam
881	undulating	undulating
882	slinky	slinky
883	philly soul	philly soul
884	still a jam	still a jam
885	fav songs	fav songs
886	albums i have on mp3	albums i have on mp3
887	new wave songs	new wave songs
888	new wave albums	new wave albums
889	fav artists	fav artists
890	albums i have on vinyl	albums i have on vinyl
891	synthpop songs	synthpop songs
893	fav albums	fav albums
894	synthpop albums	synthpop albums
895	british artists	british artists
897	new wave artists	new wave artists
898	albums i have on cd	albums i have on cd
900	new romantic songs	new romantic songs
904	debut albums	debut albums
906	3 star albums	3 star albums
907	synthpop artists	synthpop artists
910	4 star albums	4 star albums
911	electronic albums	electronic albums
917	electronic songs	electronic songs
918	american artists	american artists
919	b-sides	b-sides
920	alternative albums	alternative albums
922	instrumentals	instrumentals
925	2 star albums	2 star albums
927	5 star albums	5 star albums
928	post-punk songs	post-punk songs
929	new romantic albums	new romantic albums
930	disappointing albums	disappointing albums
931	rock albums	rock albums
933	pure aural sex	pure aural sex
934	songs to listen to on a sunny day	songs to listen to on a sunny day
935	lo-fi	lo-fi
936	mariah carey	mariah carey
937	leona lewis	leona lewis
938	run the world	run the world
939	weirdo music	weirdo music
940	clocks	clocks
941	arjen anthony lucassen	arjen anthony lucassen
942	space metal	space metal
943	metroid	metroid
944	game	game
946	lisp	lisp
947	pirate metal	pirate metal
948	alliterative	alliterative
949	duke nukem	duke nukem
950	epic song	epic song
951	sicp	sicp
953	june	june
956	the beowulfs choice	the beowulfs choice
957	scholes song	scholes song
958	the pedofinder general	the pedofinder general
959	po-kraftwerkski	po-kraftwerkski
961	zadrotstvo	zadrotstvo
963	touching song	touching song
964	ogonj	ogonj
965	absolute disco	absolute disco
966	oni pout	oni pout
967	ohm sweet ohm	ohm sweet ohm
968	nejlepsi	nejlepsi
969	po-andoneovski	po-andoneovski
970	hellish song	hellish song
971	polotenchik poet	polotenchik poet
974	tango	tango
976	true synthpop	true synthpop
978	opera	opera
979	andrew lloyd webber	andrew lloyd webber
980	tenor	tenor
981	mezzo-soprano	mezzo-soprano
982	pop opera	pop opera
983	soprano	soprano
984	baritone	baritone
985	popera	popera
986	alessandro safina	alessandro safina
987	caruso	caruso
988	the phantom of the opera	the phantom of the opera
989	duet	duet
990	turandot	turandot
991	musical	musical
992	adagio	adagio
993	phantom of the opera	phantom of the opera
994	foll	foll
995	mepoupe	mepoupe
996	korean	korean
999	alternatif	alternatif
1000	anglais	anglais
1001	darkstep	darkstep
1002	darkside	darkside
1003	hardstep	hardstep
1004	belarus	belarus
1005	death-metal	death metal
1006	mathcore	mathcore
1007	g-funk	g-funk
1008	bandana music	bandana music
1009	westcoast	westcoast
1010	g-funk francais	g-funk francais
1011	bay rap	bay rap
1012	chicano rap	chicano rap
1013	laglak	laglak
1014	gangsta rnb	gangsta rnb
1015	pimp rap	pimp rap
1016	jazz rock	jazz rock
1017	math rock	math rock
1018	jazzcore	jazzcore
1019	jazz core	jazz core
1020	indie jazz dance math rock	indie jazz dance math rock
1021	aysel gurel	aysel gurel
1022	onno tunc	onno tunc
1027	sezen aksu	sezen aksu
1033	garo mafyan	garo mafyan
1034	atilla ozdemiroglu	atilla ozdemiroglu
1036	perdesiz gitar	perdesiz gitar
1037	banu kirbag	banu kirbag
1043	arabesk	arabesk
1047	erkan ogur	erkan ogur
1049	gundogarken	gundogarken
1050	bir yaz daha bitiyor	bir yaz daha bitiyor
1051	istanbul	istanbul
1052	baha boduroglu	baha boduroglu
1053	turk sanat muzigi	turk sanat muzigi
1054	mozaik	mozaik
1055	cook alametler belirdi	cook alametler belirdi
1057	parios	parios
1058	flamenco jazz	flamenco jazz
1059	modern klasik	modern klasik
1060	ezginin gunlugu	ezginin gunlugu
1061	yildirim turker	yildirim turker
1062	oludeniz	oludeniz
1063	tanju duru	tanju duru
1064	selmi andak	selmi andak
1065	sn	sn
1067	vedat sakman	vedat sakman
1068	arto tuncboyaciyan	arto tuncboyaciyan
1069	kivanc k	kivanc k
1071	rock 'n' roll	rock 'n' roll
1072	backstage rock shop artist	backstage rock shop artist
1073	loistavuus	loistavuus
1074	rhythm and blues	rhythm and blues
1075	scandinavian action rock	scandinavian action rock
1076	rock n roll	rock n roll
1077	rock'n roll	rock'n roll
1078	seattle sound	seattle sound
1079	trancecore	trancecore
1080	mexico	mexico
1082	gader	gader
1083	dirty south	dirty south
1086	female voices	female voices
1087	justin timberlake	justin timberlake
1088	jessica simpson	jessica simpson
1089	songwriter	songwriter
1091	inspirational	inspirational
1092	jacksons	jacksons
1093	fmera album	fmera album
1095	lofi	lofi
1096	chill zone	chill zone
1098	miserable	miserable
1099	christmas blend	christmas blend
1100	rain	rain
1101	morning	morning
1102	duets	duets
1103	industri	industri
1104	steve albini	steve albini
1105	steve abini	steve abini
1106	no wave	no wave
1107	avant garde	avant-garde
1108	marathon	marathon
1109	beer	beer
1110	touhou	touhou
1111	hai	hai
1112	susu	susu
1113	utage	utage
1114	peppy	peppy
1115	video	video
1116	nico	nico
1117	iosys	iosys
1118	osu	osu
1119	ievan polka	ievan polka
1120	ryusueigun	ryusueigun
1121	can	can
1122	you	you
1123	just	just
1124	gaga	gaga
1125	parody	parody
1126	power	power
1127	polka	polka
1128	spice girls	spice girls
1129	backstreet	backstreet
1130	hair	hair
1131	afro	afro
1132	parappa	parappa
1133	cut	cut
1134	trim	trim
1135	flave	flave
1136	bass	bass
1137	hoppar	hoppar
1138	mafia	mafia
1139	superhit	superhit
1140	masz do cholery	masz do cholery
1141	musicals	musicals
1143	ross	ross
1150	damon albarn	damon albarn
1151	drone doom	drone doom
1152	alternativemetal	alternativemetal
1153	hott	hott
1154	sufoco	sufoco
1155	80's music	80's music
1156	big fun	big fun
1157	big hair	big hair
1158	supercool	supercool
1159	deep	deep
1161	heavy funk	heavy funk
1162	tecno comedy	tecno comedy
1163	80z pop	80z pop
1164	tragically-80s	tragically-80s
1165	popdance	popdance
1166	hillarious	hillarious
1167	hot track	hot track
1169	sexy song	sexy song
1170	positive	positive
1172	dance funk	dance funk
1173	gorgeous boys	gorgeous boys
1174	gorgeous soul	gorgeous soul
1175	dancerock	dancerock
1176	mosh song	mosh song
1177	hot voice	hot voice
1178	fun-dance-song	fun-dance-song
1180	popfun	popfun
1181	australian rock	australian rock
1182	genius at work - brilliant song	genius at work - brilliant song
1183	aussie pop dance band	aussie pop dance band
1184	80z rock	80z rock
1186	poprock	poprock
1187	hotttttttt	hotttttttt
1189	aweosme rock	aweosme rock
1190	british tosser	british tosser
1191	ahhhhhhhhh	ahhhhhhhhh
1193	timeless rock	timeless rock
1194	eargasm x 100000	eargasm x 100000
1195	lush	lush
1196	wow	wow
1197	exclamation mark	exclamation mark
1198	dreampop	dreampop
1199	cheese on toast	cheese on toast
1200	samey	samey
1201	just a little bit sexy	just a little bit sexy
1202	wooooooaaaaahh	wooooooaaaaahh
1203	jewish folk alternative rap	jewish folk alternative rap
1204	hilary duff	hilary duff
1206	slash	slash
1207	fergie	fergie
1208	8-bit	8-bit
1210	southern rock	southern rock
1211	synth indie rock	synth indie rock
1215	so catchy i might explode	so catchy i might explode
1217	if it were a cake i could eat it	if it were a cake i could eat it
1219	jrock	jrock
1220	j-metal	j-metal
1221	japanese hip-hop	japanese hip-hop
1222	hardcore punk	hardcore punk
1223	marisa mix	marisa mix
1225	tom waits	tom waits
1227	4/4	4/4
1228	guitar solo	guitar solo
1229	brawler	brawler
1230	bluesy	bluesy
1231	loneliness	loneliness
1232	green day	green day
1233	the weakerthans	the weakerthans
1234	the roots	the roots
1235	regina spektor	regina spektor
1239	horns	horns
1241	iron & wine	iron & wine
1242	cake	cake
1243	randy newman	randy newman
1244	growing up	growing up
1245	alternative music	alternative music
1246	alternatif muzik	alternatif muzik
1247	rock gaucho	rock gaucho
1248	rio grande do sul	rio grande do sul
1249	powerpop	powerpop
1250	rock porto alegre	rock porto alegre
1251	italian pop	italian pop
1252	christian	christian
1253	road  movie	road  movie
1254	disney on ice	disney on ice
1255	hal	hal
1256	instructive	instructive
1257	audio book	audio book
1258	propaganda	propaganda
1259	core	core
1260	school	school
1261	etheral	etheral
1262	chipgaze	chipgaze
1263	experimental metal	experimental metal
1264	breakcore	breakcore
1265	speedcore	speedcore
1266	chiptune	chiptune
1267	raggacore	raggacore
1268	jungle	jungle
1269	8bit	8bit
1270	terror	terror
1271	8 bit	8-bit
1272	latvian	latvian
1273	breakbeat	breakbeat
1274	hardcore techno	hardcore techno
1275	south park	south park
1276	cartman	cartman
1277	dominican republic	dominican republic
1278	crossover	crossover
1280	ambient black metal	ambient black metal
1281	funeral doom metal	funeral doom metal
1282	funeral doom	funeral doom
1283	death/black metal	death/black metal
1284	sleaze rock	sleaze rock
1285	glam-sleaze rock	glam-sleaze rock
1286	glam metal	glam metal
1287	rock 80s	rock 80s
1288	street punk	street punk
1289	chaos punk	chaos punk
1290	sleaze	sleaze
1291	performer	performer
1293	entertainer	entertainer
1294	pop icon	pop icon
1295	pop queen	pop queen
1296	superstar	superstar
1298	recordwoman	recordwoman
1300	britney fan	britney fan
1301	heartbreaker	heartbreaker
1302	composer	composer
